Date,Open,High,Low,Close,Adj Close,Volume
2016-10-10,115.019997,116.75,114.720001,114.48625200000001,116.050003,36236000
2016-10-11,117.699997,118.690002,116.199997,114.73288000000001,116.300003,64041000
2016-10-12,117.349998,117.980003,116.75,115.75886499999999,117.339996,37586800
2016-10-13,116.790001,117.440002,115.720001,115.40371699999999,116.980003,35192400
2016-10-14,117.879997,118.16999799999999,117.129997,116.04496,117.629997,35652200
2016-10-17,117.33000200000001,117.839996,116.779999,115.96604199999999,117.550003,23624900
2016-10-18,118.18,118.209999,117.449997,115.887123,117.470001,24553500
2016-10-19,117.25,117.760002,113.800003,115.541832,117.120003,20034600
2016-10-20,116.860001,117.379997,116.33000200000001,115.48263500000002,117.059998,24125800
2016-10-21,116.809998,116.910004,116.279999,115.02883100000001,116.599998,23192700
2016-10-24,117.099998,117.739998,117.0,116.064682,117.650002,23538700
2016-10-25,117.949997,118.360001,117.309998,116.656609,118.25,48129000
2016-10-26,114.309998,115.699997,113.309998,114.032448,115.589996,66134200
2016-10-27,115.389999,115.860001,114.099998,112.937408,114.480003,34562000
2016-10-28,113.870003,115.209999,113.449997,112.187653,113.720001,37861700
2016-10-31,113.650002,114.230003,113.199997,112.010071,113.540001,26419400
2016-11-01,113.459999,113.769997,110.529999,109.98769399999999,111.489998,43825800
2016-11-02,111.400002,112.349998,111.230003,110.086349,111.589996,28331700
2016-11-03,110.980003,111.459999,109.550003,108.906357,109.83000200000001,26932600
2016-11-04,108.529999,110.25,108.110001,107.924675,108.839996,30837000
2016-11-07,110.08000200000001,110.510002,109.459999,109.48148300000001,110.410004,32560000
2016-11-08,110.309998,111.720001,109.699997,110.126007,111.059998,24054500
2016-11-09,109.879997,111.32,108.050003,109.947525,110.879997,59176400
2016-11-10,111.089996,111.089996,105.83000200000001,106.88351399999999,107.790001,57134500
2016-11-11,107.120003,108.870003,106.550003,107.518127,108.43,34094100
2016-11-14,107.709999,107.809998,104.08000200000001,104.820999,105.709999,51175500
2016-11-15,106.57,107.68,106.160004,106.20922900000001,107.110001,32264500
2016-11-16,106.699997,110.230003,106.599998,109.065002,109.989998,58840500
2016-11-17,109.809998,110.349998,108.83000200000001,109.025345,109.949997,27632000
2016-11-18,109.720001,110.540001,109.660004,109.134422,110.059998,28428900
2016-11-21,110.120003,111.989998,110.010002,110.79038200000001,111.730003,29264600
2016-11-22,111.949997,112.41999799999999,111.400002,110.85978700000001,111.800003,25965500
2016-11-23,111.360001,111.510002,110.33000200000001,110.29458600000001,111.230003,27426400
2016-11-25,111.129997,111.870003,110.949997,110.849876,111.790001,11475900
2016-11-28,111.43,112.470001,111.389999,110.631721,111.57,27194000
2016-11-29,110.779999,112.029999,110.07,110.52265200000001,111.459999,28528800
2016-11-30,111.599998,112.199997,110.269997,109.590553,110.519997,36162300
2016-12-01,110.370003,110.940002,109.029999,108.56921399999999,109.489998,37086900
2016-12-02,109.16999799999999,110.089996,108.849998,108.975769,109.900002,26528000
2016-12-05,110.0,110.029999,108.25,108.19241299999999,109.110001,34324500
2016-12-06,109.5,110.360001,109.190002,109.025345,109.949997,26195500
2016-12-07,109.260002,111.190002,109.160004,110.09626000000002,111.029999,29998700
2016-12-08,110.860001,112.43,110.599998,111.17710100000001,112.120003,27068300
2016-12-09,112.309998,114.699997,112.309998,112.991707,113.949997,34402600
2016-12-12,113.290001,115.0,112.489998,112.347183,113.300003,26374400
2016-12-13,113.839996,115.91999799999999,113.75,114.22128300000001,115.190002,43733800
2016-12-14,115.040001,116.199997,114.980003,114.22128300000001,115.190002,34031800
2016-12-15,115.379997,116.730003,115.230003,114.84598500000001,115.82,46524500
2016-12-16,116.470001,116.5,115.650002,114.99472,115.970001,44351100
2016-12-19,115.800003,117.379997,115.75,115.65908799999998,116.639999,27779400
2016-12-20,116.739998,117.5,116.68,115.966476,116.949997,21425000
2016-12-21,116.800003,117.400002,116.779999,116.075554,117.059998,23783200
